id_vendedor,nome,idade,horas_treinamento,faltas,numero_clientes,vendas_mes
87,Vendedor 087,46,8.3,4,36,27677.83
88,Vendedor 088,46,8.0,3,42,
89,Vendedor 089,54,7.9,5,34,49285.12
90,Vendedor 090,41,8.1,2,12,37426.17
91,Vendedor 091,56,11.1,3,40,54589.91
92,Vendedor 092,55,11.0,7,53,88440.2
93,Vendedor 093,34,9.9,1,45,70470.17
94,Vendedor 094,58,1.1,4,25,30684.26
95,Vendedor 095,49,5.7,5,42,47995.11
96,Vendedor 096,28,10.2,4,24,43719.54
97,Vendedor 097,26,8.4,2,31,59694.36
98,Vendedor 098,22,9.6,2,31,41147.16
99,Vendedor 099,49,6.3,1,40,55106.62
100,Vendedor 100,44,2.8,5,37,43953.07
101,Vendedor 101,25,4.6,3,24,38093.14
102,Vendedor 102,26,6.3,4,38,67143.23
103,Vendedor 103,22,6.1,1,30,39457.48
104,Vendedor 104,50,5.8,4,24,27458.74
105,Vendedor 105,41,6.2,3,36,51374.37
106,Vendedor 106,23,8.3,1,50,53397.25
107,Vendedor 107,22,1.6,4,26,33692.74
108,Vendedor 108,42,4.7,3,35,38550.64
109,Vendedor 109,40,,3,43,58919.11
110,Vendedor 110,48,7.4,3,40,53592.75
111,Vendedor 111,57,11.5,0,40,66030.39
112,Vendedor 112,37,12.4,5,32,47603.04
113,Vendedor 113,55,9.5,3,44,54369.87
114,Vendedor 114,36,3.5,1,27,39565.15
115,Vendedor 115,24,6.7,4,41,58223.27
116,Vendedor 116,53,11.7,8,36,39134.04
117,Vendedor 117,55,6.6,2,25,40332.52
118,Vendedor 118,53,13.7,1,31,58215.64
119,Vendedor 119,31,6.8,4,48,62288.43
120,Vendedor 120,49,5.4,2,37,47569.48
